preamble,status,dataID,timestamp,w_x,w_y,w_z,la_x,la_y,la_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,pressure,altitude,temperature,battery,co2,mp25,mp10,ozonio
JUPITERC,2,1,10089993,-0.341796875,-1.607421875,13.02148438,7.85546875,-37.9296875,-4.33203125,-1.6796875,-37.3125,10.46484375,19.5,11.75,28.3125,-9.296875,1.0390625,14.7578125,825.9644775,751.0610962,34.34159088,7.621166706,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090013,-0.318359375,-1.662109375,12.953125,7.6796875,-38.38671875,-4.30859375,-1.56640625,-37.62109375,10.00390625,21.9375,4.3125,23.125,-9.3828125,1.1953125,14.8046875,825.5047607,755.6797485,34.34141922,7.622748375,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090033,-0.384765625,-1.70703125,12.97070313,7.85546875,-38.87109375,-4.82421875,-2.40625,-37.2734375,10.42578125,22.75,-3.8125,23.0625,-9.453125,1.3203125,14.859375,824.9835815,760.9141235,34.34370041,7.624172211,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090053,-0.447265625,-1.61328125,12.95507813,7.0703125,-38.68359375,-4.46484375,-1.984375,-38.6953125,10.04296875,21.0625,-10.5625,23.25,-9.4921875,1.515625,14.90625,824.4430542,766.3492432,34.34331894,7.624445438,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090073,-0.5078125,-1.724609375,13.02539063,7.53125,-40.25,-4.88671875,-2.90625,-39,9.9296875,16.8125,-16.625,20.875,-9.5078125,1.671875,14.9453125,823.7747192,773.071228,34.34540939,7.62544775,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090093,-0.451171875,-1.7421875,13.046875,6.625,-40.7109375,-5.03125,-3.25,-39.921875,10.00390625,10.75,-21.625,19.5625,-9.515625,1.8203125,14.984375,823.236145,778.4931641,34.34242249,7.626349449,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090113,-0.470703125,-1.7578125,13.23632813,6.265625,-41.78125,-5.00390625,-4.16796875,-39.609375,9.73828125,4.125,-24.6875,20.3125,-9.4921875,1.9765625,15.03125,822.6178589,784.7183838,34.3421669,7.62791729,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090133,-0.56640625,-1.716796875,13.3671875,5.33984375,-41.60546875,-5.30078125,-4.97265625,-41.140625,9.58203125,-2.75,-26.75,19.6875,-9.4921875,2.1015625,15.0546875,822.0637207,790.3014526,34.3443718,7.628571987,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090153,-0.556640625,-1.666015625,13.44921875,4.53515625,-43.28515625,-5.48046875,-5.43359375,-41.9453125,9.62109375,-9,-27,20.125,-9.5078125,2.2421875,15.078125,821.4420776,796.5689697,34.34392166,7.628657341,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090173,-0.662109375,-1.810546875,13.5859375,4.09765625,-44.19921875,-5.47265625,-6.5078125,-41.33984375,9.390625,-15.875,-23.75,19.875,-9.53125,2.375,15.109375,820.7866821,803.1799316,34.34108353,7.629742146,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090193,-0.6171875,-1.775390625,13.65429688,3.078125,-43.75,-5.7109375,-6.92578125,-42.5625,9.35546875,-24.0625,-19.5625,22.875,-9.578125,2.5234375,15.125,820.1763916,809.3417358,34.34096146,7.629962444,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090213,-0.650390625,-1.84765625,13.59375,2.69921875,-45.1171875,-5.77734375,-7.1953125,-42.6015625,9.125,-31.5625,-13,24.625,-9.6328125,2.6796875,15.15625,819.5757446,815.4083862,34.34085083,7.630160809,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090233,-0.65234375,-1.94921875,13.47265625,2.453125,-45.3671875,-6.046875,-7.76953125,-41.41796875,9.125,-31.5625,-13,24.625,-9.65625,2.8203125,15.203125,819.2523193,818.6768799,34.34075165,7.630339146,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090253,-0.68359375,-1.880859375,13.33398438,1.94140625,-44.2421875,-6.1015625,-7.65625,-42.296875,9.0859375,-34.9375,2,27.125,-9.703125,2.9375,15.2421875,818.6396484,824.8703613,34.34066391,7.63024807,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090273,-0.828125,-1.98828125,13.3046875,2.0859375,-45.25,-6.1796875,-7.578125,-41.7578125,9.31640625,-37.875,9.25,28.125,-9.734375,3.046875,15.3046875,818.1255493,830.0703735,34.3405838,7.630670071,267.2062378,249.4020691,249.6300507,6.26587677
JUPITERC,2,1,10090293,-0.744140625,-2.04296875,13.17382813,2.5625,-45.9453125,-6.1875,-7.88671875,-42.41015625,8.89453125,-32.125,16.6875,28.625,-9.7265625,3.109375,15.359375,817.5904541,835.4869995,34.34781647,7.630545616,267.2062378,249.4020691,249.6300507,6.26587677
