# Time (s), Pressure (Pa), Az (m/s²), Attitude Angle (°)
10.540000,72369.355990,-12.596976,68.369901
10.560000,72332.364081,-12.627438,68.354879
10.580000,72295.416624,-12.657882,68.339827
10.600000,72258.513727,-12.688286,68.324745
10.620000,72221.655497,-12.718660,68.309632
10.640000,72184.842039,-12.749006,68.294487
10.660000,72148.073462,-12.779785,68.279308
10.680000,72111.349873,-12.810339,68.264094
10.700000,72074.671379,-12.840121,68.248845
10.720000,72038.038087,-12.869897,68.233560
10.740000,72001.450102,-12.899693,68.218237
10.760000,71964.907526,-12.929493,68.202878
10.780000,71928.410465,-12.959765,68.187482
10.800000,71891.959015,-12.974864,68.172050
10.820000,71855.553251,-12.989976,68.156583
10.840000,71819.193221,-13.005104,68.141080
10.860000,71782.878966,-13.020244,68.125543
10.880000,71746.610538,-13.035369,68.109973
10.900000,71710.387999,-13.050504,68.094368
10.920000,71674.211406,-13.064790,68.078730
10.940000,71638.080826,-13.106283,68.063058
10.960000,71601.996367,-13.147750,68.047352
10.980000,71565.958181,-13.189186,68.031610
11.000000,71529.966435,-13.230599,68.015832
11.020000,71494.021275,-13.272002,68.000018
11.040000,71458.122841,-13.313383,67.984167
11.060000,71422.271272,-13.356107,67.968279
11.080000,71386.466685,-13.355593,67.952352
11.100000,71350.709125,-13.355114,67.936386
11.120000,71314.998594,-13.354678,67.920382
11.140000,71279.335078,-13.354279,67.904339
11.160000,71243.718568,-13.353914,67.888258
11.180000,71208.149062,-13.353584,67.872140
11.200000,71172.626563,-13.353500,67.855983
11.220000,71137.151067,-13.346772,67.839788
11.240000,71101.722558,-13.340668,67.823557
11.260000,71066.341016,-13.334972,67.807288
11.280000,71031.006416,-13.329310,67.790983
11.300000,70995.718738,-13.323680,67.774640
11.320000,70960.477962,-13.318087,67.758259
11.340000,70925.284070,-13.311982,67.741841
11.360000,70890.137054,-13.323267,67.725384
11.380000,70855.036932,-13.334568,67.708889
11.400000,70819.983746,-13.345884,67.692354
11.420000,70784.977540,-13.357226,67.675780
11.440000,70750.018359,-13.368585,67.659166
11.460000,70715.106241,-13.379962,67.642511
11.480000,70680.241225,-13.391297,67.625817
11.500000,70645.423351,-13.404352,67.609083
11.520000,70610.652663,-13.416573,67.592308
11.540000,70575.929204,-13.428812,67.575494
11.560000,70541.253019,-13.441043,67.558639
11.580000,70506.624150,-13.453289,67.541744
11.600000,70472.042642,-13.465554,67.524810
11.620000,70437.508535,-13.477118,67.507835
11.640000,70403.021889,-13.511363,67.490820
11.660000,70368.582799,-13.545593,67.473765
11.680000,70334.191384,-13.579820,67.456669
11.700000,70299.847773,-13.614060,67.439533
11.720000,70265.552092,-13.648287,67.422355
11.740000,70231.304460,-13.682502,67.405135
11.760000,70197.104995,-13.717603,67.387874
11.780000,70162.953794,-13.724272,67.370570
11.800000,70128.850916,-13.730965,67.353223
11.820000,70094.796386,-13.737630,67.335834
11.840000,70060.790217,-13.744265,67.318402
11.860000,70026.832427,-13.750925,67.300927
11.880000,69993.681483,-13.757654,67.283400
11.900000,69963.449428,-13.764045,67.265851
11.920000,69933.260649,-13.789497,67.248284
11.940000,69903.115205,-13.814915,67.230697
11.960000,69873.013175,-13.840337,67.213087
11.980000,69842.954645,-13.865693,67.195491
12.000000,69812.939697,-13.890967,67.177908
12.020000,69782.968410,-13.916243,67.160277
12.040000,69753.040864,-13.942967,67.142571
12.060000,69723.157123,-13.948548,67.124833
12.080000,69693.317230,-13.954114,67.107077
12.100000,69663.521202,-13.959756,67.089295
12.120000,69633.769051,-13.965425,67.071472
12.140000,69604.060789,-13.971126,67.053602
12.160000,69574.396436,-13.976864,67.035674
12.180000,69544.776013,-13.983265,67.017682
12.200000,69515.199529,-13.970225,66.999621
12.220000,69485.666966,-13.957236,66.981495
12.240000,69456.178278,-13.944191,66.963308
12.260000,69426.733407,-13.931201,66.945068
12.280000,69397.332313,-13.918262,66.926777
12.300000,69367.974966,-13.905371,66.908435
12.320000,69338.661330,-13.892077,66.890045
